i sys itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_qps target_qps time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
0 ebbrt_tuned 100 0xf00 55 41.6 42.8 60.0 124.4 134.1 147.1 39976.1 40000 20.0 932.52 1557069 177165303 2220926 204371678 7910357588.0 30869339536.0 69807624166.0 43121540.0 0.0 0.0 0.0 0.0 507732.0 1791103
0 ebbrt_tuned 100 0xf00 75 42.7 45.6 80.1 130.3 138.5 152.1 75083.5 75000 20.0 960.26 2722330 321002877 4170841 383422119 14114198023.0 48947497050.0 108867984818.0 75885431.0 0.0 0.0 0.0 0.0 535326.0 2493315
0 ebbrt_tuned 100 0xf00 55 41.7 44.2 79.1 128.7 137.6 151.3 75065.1 75000 20.0 963.2 2720404 320496967 4167483 381288981 14103019784.0 48881772566.0 108749403673.0 74871015.0 0.0 0.0 0.0 0.0 535275.0 2493885
0 ebbrt_tuned 200 0xf00 135 43.7 47.1 123.7 220.2 234.2 249.1 39944.1 40000 20.0 933.55 1528311 175369969 2218240 203753886 7731129419.0 28332680810.0 63943548811.0 41634728.0 0.0 0.0 0.0 0.0 567603.0 1304556
0 ebbrt_tuned 200 0xf00 75 42.9 45.8 124.0 218.8 232.1 248.6 40055.0 40000 20.0 932.43 1533131 175660421 2223968 203658762 7761186236.0 28096778862.0 63439285385.0 41332463.0 0.0 0.0 0.0 0.0 564906.0 1303051
0 ebbrt_tuned 200 0xf00 55 43.7 47.0 123.1 219.5 233.2 249.0 39979.7 40000 20.0 933.88 1530710 175484212 2218481 200578456 7755142485.0 28288147056.0 63831394588.0 42672302.0 0.0 0.0 0.0 0.0 563209.0 1302342
0 ebbrt_tuned 200 0xf00 135 47.9 56.6 140.2 222.5 235.6 249.7 74998.8 75000 20.0 957.01 2596344 313053530 4163908 380374127 13712381243.0 43570556792.0 96813435570.0 72331893.0 0.0 0.0 0.0 0.0 693635.0 1503356
0 ebbrt_tuned 200 0xf00 75 48.2 57.0 140.8 222.3 235.5 249.6 74888.6 75000 20.0 956.02 2598037 312965650 4159247 380202998 13654824331.0 43273440270.0 96199187643.0 71938053.0 0.0 0.0 0.0 0.0 688360.0 1502098
0 ebbrt_tuned 200 0xf00 55 47.1 55.6 139.4 222.4 235.5 249.6 75070.7 75000 20.0 955.41 2598975 312851634 4165407 378343043 13723585373.0 43730896419.0 97155789212.0 73092413.0 0.0 0.0 0.0 0.0 695498.0 1503954
0 ebbrt_tuned 300 0xf00 135 46.8 56.0 184.4 314.5 329.5 358.1 40039.9 40000 20.0 926.36 1507133 174428262 2223463 204826199 7796889893.0 26478915239.0 60101044751.0 41797384.0 0.0 0.0 0.0 0.0 593490.0 973386
0 ebbrt_tuned 300 0xf00 75 46.5 56.3 186.8 314.6 329.5 358.0 39975.7 40000 20.0 924.93 1505107 173570596 2218636 202697077 7764352318.0 25919999697.0 58910097923.0 39757778.0 0.0 0.0 0.0 0.0 587734.0 971354
0 ebbrt_tuned 300 0xf00 55 48.0 57.5 187.2 315.1 330.5 359.0 40026.7 40000 20.0 926.81 1507415 174333906 2223476 205297807 7808531084.0 26740460176.0 60653865052.0 42797604.0 0.0 0.0 0.0 0.0 594837.0 973730
0 ebbrt_tuned 300 0xf00 135 55.8 71.1 194.9 315.4 330.0 358.4 75001.6 75000 20.0 950.08 2509475 307668968 4165775 381772531 13777281961.0 41059502132.0 91845346767.0 69545812.0 0.0 0.0 0.0 0.0 742457.0 1032862
0 ebbrt_tuned 300 0xf00 75 56.5 72.0 196.2 316.0 330.4 358.7 75092.4 75000 20.0 949.75 2507284 307649217 4169235 382558349 13797540493.0 41058614633.0 91897461826.0 69814593.0 0.0 0.0 0.0 0.0 748757.0 1032930
0 ebbrt_tuned 300 0xf00 55 55.6 71.4 194.2 315.0 329.5 357.8 75029.0 75000 20.0 951.4 2507121 307050089 4165316 379791091 13776218866.0 41004168034.0 91749429847.0 69065853.0 0.0 0.0 0.0 0.0 741306.0 1032964
0 ebbrt_tuned 400 0xf00 135 53.8 73.1 242.9 409.7 429.1 444.7 39992.4 40000 20.0 922.37 1484777 172953194 2220705 203619948 7679420165.0 24246098370.0 55275931719.0 37955910.0 0.0 0.0 0.0 0.0 666596.0 759934
0 ebbrt_tuned 400 0xf00 75 54.8 74.9 245.4 410.4 429.8 445.3 39993.2 40000 20.0 925.34 1483772 173093807 2220136 202446693 7713049337.0 24912626743.0 56686760897.0 40982768.0 0.0 0.0 0.0 0.0 672972.0 760484
0 ebbrt_tuned 400 0xf00 55 53.4 72.9 243.1 409.5 429.3 445.1 40038.4 40000 20.0 924.73 1486188 173396548 2224923 206012786 7718059633.0 24887982844.0 56633919823.0 40845486.0 0.0 0.0 0.0 0.0 675829.0 760716
0 ebbrt_tuned 400 0xf00 135 60.8 82.3 248.5 409.5 428.9 444.5 74954.5 75000 20.0 947.89 2434763 303035009 4161811 379717046 13571344425.0 38547981090.0 86394106828.0 66337530.0 0.0 0.0 0.0 0.0 872807.0 779684
0 ebbrt_tuned 400 0xf00 75 63.3 84.0 250.2 409.5 429.3 445.1 75082.1 75000 20.0 948.07 2436430 303440142 4168656 381197361 13581338971.0 38868762209.0 87022448088.0 67956017.0 0.0 0.0 0.0 0.0 873423.0 779691
0 ebbrt_tuned 400 0xf00 55 62.4 83.8 247.6 410.0 429.3 444.7 75072.4 75000 20.0 948.09 2437280 303659668 4168776 380526712 13592442201.0 38792901818.0 86839143728.0 67476608.0 0.0 0.0 0.0 0.0 878141.0 779699
0 ebbrt_tuned 2 0x1100 135 37.4 38.0 42.7 53.8 57.4 64.7 40060.9 40000 20.0 986.88 1575971 178589432 2224281 203514936 8004829156.0 32929182031.0 70376044466.0 43357448.0 0.0 0.0 0.0 0.0 507242.0 2365050
0 ebbrt_tuned 2 0x1100 75 37.4 38.1 43.2 54.2 58.1 65.0 39984.2 40000 20.0 987.17 1573288 177957376 2220004 203155044 8008889749.0 33071847173.0 70673617961.0 43391652.0 0.0 0.0 0.0 0.0 510230.0 2361336
0 ebbrt_tuned 2 0x1100 55 36.4 37.7 42.4 53.7 57.4 64.5 40012.9 40000 20.0 987.29 1573875 178576468 2221793 203203552 8003107491.0 33025573881.0 70571832224.0 43064860.0 0.0 0.0 0.0 0.0 509045.0 2362320
0 ebbrt_tuned 2 0x1100 135 36.8 37.9 43.5 55.8 59.6 65.7 75118.4 75000 20.0 1032.92 2827194 326879134 4170217 381197049 14642255949.0 56817883858.0 117431090521.0 80962952.0 0.0 0.0 0.0 0.0 517549.0 4280708
0 ebbrt_tuned 2 0x1100 75 37.8 38.5 44.4 57.1 60.2 66.1 75084.2 75000 20.0 1032.16 2829733 327169180 4168687 381033375 14614474977.0 56303213828.0 116464503962.0 79407095.0 0.0 0.0 0.0 0.0 517075.0 4282964
0 ebbrt_tuned 2 0x1100 55 36.8 37.8 43.4 55.5 59.4 65.7 75017.3 75000 20.0 1032.85 2825851 327525767 4167912 384064354 14633413043.0 57001767863.0 117768477536.0 82471469.0 0.0 0.0 0.0 0.0 518290.0 4278083
0 ebbrt_tuned 4 0x1100 135 37.0 37.9 42.5 53.8 57.5 64.4 40012.1 40000 20.0 987.92 1573645 178041620 2220797 202553303 8006679588.0 33110610247.0 70746920565.0 43507436.0 0.0 0.0 0.0 0.0 508732.0 2361849
0 ebbrt_tuned 4 0x1100 75 37.7 38.4 43.5 54.3 58.2 65.0 39972.8 40000 20.0 987.97 1572992 178082105 2218942 202339175 8012907924.0 33011108974.0 70539098532.0 43391160.0 0.0 0.0 0.0 0.0 509804.0 2361003
0 ebbrt_tuned 4 0x1100 55 37.6 38.2 43.2 54.1 57.9 64.7 40035.1 40000 20.0 988.94 1575000 178520856 2223044 203666654 8038370651.0 33197695393.0 70902562289.0 43979888.0 0.0 0.0 0.0 0.0 508982.0 2364573
0 ebbrt_tuned 4 0x1100 135 37.2 38.0 43.6 55.9 59.7 65.8 74875.2 75000 20.0 1032.87 2819780 326182965 4157462 379893248 14605056910.0 56671164998.0 117183274327.0 79663506.0 0.0 0.0 0.0 0.0 517905.0 4272583
0 ebbrt_tuned 4 0x1100 75 36.4 37.8 43.5 55.8 59.6 65.7 75133.8 75000 20.0 1032.94 2829478 326539133 4170303 379368612 14609464556.0 56453980145.0 116733622599.0 80053709.0 0.0 0.0 0.0 0.0 516242.0 4286602
0 ebbrt_tuned 4 0x1100 55 36.3 37.7 43.4 55.7 59.7 65.8 75068.6 75000 20.0 1032.74 2825360 327198626 4167917 381138241 14591752927.0 56437139746.0 116721212629.0 79078182.0 0.0 0.0 0.0 0.0 517188.0 4280942
0 ebbrt_tuned 10 0x1100 135 38.8 40.4 46.5 58.1 61.1 68.6 40029.7 40000 20.0 992.67 1572356 178156203 2223276 204101151 8005382464.0 33957949574.0 72191839823.0 44734592.0 0.0 0.0 0.0 0.0 509968.0 2300145
0 ebbrt_tuned 10 0x1100 75 40.9 41.8 47.9 58.8 62.2 69.5 39986.8 40000 20.0 991.44 1570344 177931490 2219487 201811897 8002651188.0 33692717930.0 71679053355.0 43281046.0 0.0 0.0 0.0 0.0 511056.0 2297302
0 ebbrt_tuned 10 0x1100 55 40.9 41.8 47.9 58.8 62.2 69.7 40008.0 40000 20.0 992.67 1571223 178107689 2221441 202491840 8012473800.0 33900119461.0 72086483519.0 44083368.0 0.0 0.0 0.0 0.0 511721.0 2299007
0 ebbrt_tuned 10 0x1100 135 39.4 41.3 48.6 60.1 64.3 71.2 75037.4 75000 20.0 1033.9 2813590 326266048 4167227 384127764 14564159492.0 57287311761.0 118195724183.0 82186918.0 0.0 0.0 0.0 0.0 519231.0 4070899
0 ebbrt_tuned 10 0x1100 75 40.8 41.8 48.9 60.2 64.4 71.2 74986.7 75000 20.0 1031.97 2812044 325664164 4163859 380681479 14513497430.0 56527947920.0 116766844303.0 78446446.0 0.0 0.0 0.0 0.0 518979.0 4069235
0 ebbrt_tuned 10 0x1100 55 39.2 41.2 47.8 59.6 63.6 70.5 75175.8 75000 20.0 1025.85 2821817 327274288 4143156 375189662 14544136794.0 56478656446.0 116686084900.0 79462627.0 0.0 0.0 0.0 0.0 520353.0 4080301
