i sys itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_qps target_qps time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
0 linux_tuned 300 0xd00 135 113.4 137.1 256.5 369.7 399.5 466.9 400061.3 400000 20.0 1173.0 8520653 1447292048 23732065 1923074821 152285741069.0 259810586482.0 580247767387.0 520401455.0 379216.0 998327.0 170667.0 0.0 383556.0 1041844
0 linux_tuned 300 0xd00 95 114.7 137.7 256.8 368.7 398.5 461.0 399975.1 400000 20.0 1170.48 8519536 1447631307 23726164 1925271629 151452611467.0 256803117178.0 573581320757.0 497921479.0 308625.0 970721.0 185758.0 0.0 409271.0 1041905
0 linux_tuned 300 0xd00 55 109.0 131.9 252.4 364.6 394.2 453.0 400007.1 400000 20.0 1174.01 8519971 1446953683 23743485 1919018009 153485951344.0 261128997480.0 582889560290.0 495405635.0 539699.0 1089417.0 162162.0 0.0 351157.0 1041870
0 linux_tuned 300 0xd00 135 124.2 152.9 284.9 476.4 656.1 1363.9 599850.2 600000 20.0 1267.78 12923475 2179303875 34883835 2868667722 212013648300.0 341708546325.0 762312047396.0 807777998.0 528734.0 661017.0 66240.0 0.0 114524.0 1041251
0 linux_tuned 300 0xd00 95 129.1 160.1 291.4 478.6 668.9 1378.1 600037.2 600000 20.0 1265.32 12930755 2182501356 34876106 2873435267 211391664052.0 339730898710.0 757984764343.0 804434780.0 438928.0 647008.0 74342.0 0.0 132138.0 1041508
0 linux_tuned 300 0xd00 55 127.4 156.5 288.5 477.1 657.7 1392.1 599963.6 600000 20.0 1267.65 12925283 2178962340 34880185 2871448787 211831728127.0 341338356904.0 761527713947.0 805556047.0 504954.0 661084.0 68261.0 0.0 118564.0 1041582
0 linux_tuned 400 0xd00 135 111.7 135.7 294.9 442.9 471.3 515.1 200106.6 200000 20.0 1054.55 4481122 738846980 11983354 962230806 85386609138.0 156776475493.0 351308301962.0 224548685.0 132289.0 847502.0 272473.0 0.0 731018.0 781331
0 linux_tuned 400 0xd00 95 113.7 139.2 298.2 445.7 474.8 522.0 199895.1 200000 20.0 1052.91 4472501 738103237 11969471 963856066 84521478993.0 155765904060.0 349089194093.0 223218548.0 117398.0 743861.0 257151.0 0.0 727916.0 781362
0 linux_tuned 400 0xd00 55 110.1 134.4 294.6 441.4 469.1 510.7 199848.4 200000 20.0 1054.96 4476791 737091422 11969822 959280296 85464494190.0 156082039895.0 349499880406.0 221984648.0 151993.0 849580.0 272377.0 0.0 728445.0 781351
0 linux_tuned 400 0xd00 135 117.9 147.0 303.0 447.9 483.1 563.4 400160.9 400000 20.0 1169.32 8554244 1449657906 23659751 1915980774 151579463090.0 255567148931.0 570358487102.0 539566925.0 468407.0 947641.0 176254.0 0.0 379143.0 781409
0 linux_tuned 400 0xd00 95 142.6 174.5 332.6 476.4 512.0 585.7 399706.6 400000 20.0 1150.64 8523755 1447975747 23542425 1916421047 145565375505.0 239743617475.0 536233152266.0 462484932.0 62660.0 453840.0 191397.0 0.0 523278.0 781383
0 linux_tuned 400 0xd00 55 132.2 164.7 322.4 466.2 497.2 573.5 400179.9 400000 20.0 1154.21 8534474 1449106965 23591566 1921566928 147356043955.0 242282291743.0 541451553844.0 452221714.0 124876.0 626553.0 200083.0 0.0 514372.0 781376
0 linux_tuned 400 0xd00 135 142.4 179.8 347.2 542.0 686.4 1287.4 599796.1 600000 20.0 1255.35 12984983 2183143544 34690030 2868541841 209591297239.0 330085678536.0 736422619296.0 781176453.0 367658.0 592203.0 100569.0 0.0 170262.0 781191
0 linux_tuned 400 0xd00 95 149.6 189.4 354.4 536.9 663.6 1266.5 599852.0 600000 20.0 1253.21 12984134 2181336148 34664031 2859335449 208820067145.0 327116327199.0 729772954850.0 768436221.0 280146.0 578398.0 107349.0 0.0 189868.0 781209
0 linux_tuned 400 0xd00 55 143.0 181.0 347.4 539.2 679.0 1287.5 600084.7 600000 20.0 1256.1 12987053 2183365938 34696198 2865498237 209607531151.0 330536702405.0 737368953154.0 786091087.0 355405.0 613740.0 99041.0 0.0 164819.0 781301
0 linux_tuned 50 0xf00 135 56.3 58.6 80.1 105.1 111.8 125.4 200066.8 200000 20.0 1200.47 5074777 777380539 12085784 960972452 104250860975.0 210113135676.0 406212022799.0 251267186.0 3437931.0 2205706.0 43641.0 0.0 112894.0 5186053
1 linux_tuned 50 0xf00 135 56.3 58.5 79.8 104.8 111.0 124.2 200083.0 200000 20.0 1199.06 5079256 777312043 12086108 959615546 103968267314.0 209481135946.0 404990734924.0 250266492.0 3400281.0 2204872.0 45197.0 0.0 115708.0 5177475
2 linux_tuned 50 0xf00 135 56.4 58.7 80.2 105.0 111.5 124.4 200097.3 200000 20.0 1199.68 5076047 777623620 12086786 961722197 104002939977.0 209621396193.0 405260668055.0 247206167.0 3422657.0 2214769.0 44450.0 0.0 113263.0 5184586
3 linux_tuned 50 0xf00 135 56.8 59.3 80.7 105.6 112.4 125.5 199855.4 200000 20.0 1200.29 5073842 777645400 12073924 962022228 103944406994.0 209835025019.0 405674369266.0 251202833.0 3438107.0 2219385.0 43674.0 0.0 111759.0 5188348
4 linux_tuned 50 0xf00 135 56.3 58.6 80.2 105.2 111.7 124.9 199924.1 200000 20.0 1200.41 5075919 777343171 12076298 959910776 103978693559.0 209815094309.0 405635712701.0 248751193.0 3452716.0 2219242.0 42886.0 0.0 112915.0 5191452
0 linux_tuned 50 0xf00 95 56.2 58.5 80.0 105.0 111.5 124.6 200050.5 200000 20.0 1199.49 5064612 776823581 12083875 958093910 103945673430.0 209941293926.0 405880713517.0 251511308.0 3444521.0 2211385.0 43853.0 0.0 112969.0 5187231
1 linux_tuned 50 0xf00 95 56.2 58.4 79.9 104.9 111.3 124.4 200011.5 200000 20.0 1200.07 5079891 776890585 12082205 957500248 104004805232.0 209752186104.0 405514301069.0 251068085.0 3440244.0 2213512.0 43052.0 0.0 113352.0 5186931
2 linux_tuned 50 0xf00 95 56.4 58.6 80.3 105.2 111.9 125.2 199971.7 200000 20.0 1199.85 5076402 777594078 12077281 958236339 103987600680.0 210116032857.0 406220388052.0 255581052.0 3450015.0 2221395.0 43117.0 0.0 111160.0 5191012
3 linux_tuned 50 0xf00 95 56.4 58.6 80.1 105.2 111.7 125.2 200079.3 200000 20.0 1199.47 5077364 777103660 12086583 960668136 103935475425.0 209607043454.0 405233575530.0 247984078.0 3428608.0 2213287.0 44030.0 0.0 114670.0 5186870
4 linux_tuned 50 0xf00 95 56.7 59.2 81.0 105.8 112.6 125.4 199983.9 200000 20.0 1200.48 5070166 777639343 12080992 959344343 104118906228.0 210263861570.0 406503799832.0 252669599.0 3461762.0 2209603.0 43722.0 0.0 112278.0 5189765
0 linux_tuned 50 0xf00 75 56.2 58.4 79.8 105.0 111.4 124.3 199956.7 200000 20.0 1199.73 5070769 777608743 12079545 960643282 103921302761.0 209730710198.0 405472459753.0 251603658.0 3436528.0 2210159.0 43997.0 0.0 113186.0 5184789
1 linux_tuned 50 0xf00 75 56.8 59.3 81.1 105.6 112.4 125.5 200017.9 200000 20.0 1200.13 5073943 777385481 12083641 961114887 104023179084.0 210372275391.0 406713219127.0 257873754.0 3461026.0 2211990.0 42695.0 0.0 110466.0 5190982
2 linux_tuned 50 0xf00 75 56.7 59.3 80.9 105.7 112.6 125.8 200087.6 200000 20.0 1199.53 5077592 777613473 12085489 961204758 103989945037.0 209846347185.0 405695476510.0 250085495.0 3450560.0 2214030.0 43422.0 0.0 112756.0 5189876
3 linux_tuned 50 0xf00 75 56.2 58.3 79.8 105.1 111.5 124.8 199792.7 200000 20.0 1199.01 5083785 778438733 12068743 960822773 103850876085.0 209375052573.0 404785223553.0 249299917.0 3420146.0 2215232.0 44743.0 0.0 113704.0 5184387
4 linux_tuned 50 0xf00 75 56.2 58.3 79.9 104.9 111.2 124.5 199879.5 200000 20.0 1198.89 5073615 777296724 12074569 959849889 103956127355.0 209675765185.0 405366621266.0 252262059.0 3428814.0 2210485.0 43817.0 0.0 113368.0 5183439
0 linux_tuned 50 0xf00 55 56.2 58.5 79.9 104.9 111.2 124.2 199944.1 200000 20.0 1198.28 5084834 778116822 12079005 959249375 104139064589.0 209934407013.0 405868853590.0 253939734.0 3432793.0 2208900.0 44069.0 0.0 114358.0 5183643
1 linux_tuned 50 0xf00 55 56.3 58.5 80.0 105.0 111.4 124.2 199967.9 200000 20.0 1199.82 5066397 776973034 12079023 959329026 103967832699.0 209803346411.0 405613350134.0 251536348.0 3434811.0 2209405.0 43856.0 0.0 112820.0 5184550
2 linux_tuned 50 0xf00 55 56.6 59.0 80.7 105.3 112.1 125.8 199999.4 200000 20.0 1199.58 5084695 779289036 12081451 961370425 104041989580.0 209934872742.0 405868026539.0 251160424.0 3431958.0 2207300.0 43769.0 0.0 113318.0 5186015
3 linux_tuned 50 0xf00 55 56.5 58.9 80.5 105.5 112.2 125.1 199887.1 200000 20.0 1199.57 5079045 777345250 12075249 957667029 104154659151.0 210579485241.0 407113427102.0 255659703.0 3478052.0 2216934.0 42970.0 0.0 108378.0 5196579
4 linux_tuned 50 0xf00 55 56.3 58.5 79.9 105.1 111.5 124.2 200154.3 200000 20.0 1198.89 5081600 778179422 12091400 961863939 103959613858.0 209377754587.0 404791719988.0 246962099.0 3390902.0 2200427.0 45320.0 0.0 117982.0 5175770
0 linux_tuned 50 0xf00 135 63.7 69.6 95.8 127.8 143.0 194.7 400051.7 400000 20.01 1359.73 8505053 1445012553 24054342 1919866386 171343100259.0 341975618130.0 661139891323.0 607150026.0 4381808.0 604902.0 1680.0 0.0 5129.0 6039035
0 linux_tuned 50 0xf00 95 63.0 68.7 94.9 125.6 139.7 187.3 400073.8 400000 20.0 1356.45 8507343 1445845086 24054838 1918496306 171558898535.0 339878616840.0 657085695296.0 559081584.0 4431801.0 620048.0 1715.0 0.0 5047.0 6038341
0 linux_tuned 50 0xf00 55 63.2 69.2 95.7 128.1 143.4 195.2 400112.6 400000 20.0 1359.52 8510057 1446313105 24056796 1921272121 171285553449.0 342980258038.0 663082470591.0 631887715.0 4361738.0 600971.0 1660.0 0.0 5193.0 6038372
0 linux_tuned 50 0xf00 135 73.8 81.2 119.1 278.8 492.2 1172.5 599822.7 600000 20.0 1456.38 12673442 2163551305 35485940 2872264196 223665230695.0 418847754714.0 809765479588.0 950085204.0 2537687.0 92872.0 360.0 0.0 3088.0 6179640
0 linux_tuned 50 0xf00 95 73.6 81.1 119.0 276.5 498.5 1182.3 600019.3 600000 20.01 1457.06 12679464 2164391706 35485476 2881344679 223688897902.0 418607388940.0 809300883058.0 952560902.0 2537731.0 94657.0 388.0 0.0 2861.0 6178022
0 linux_tuned 50 0xf00 55 73.5 80.8 118.7 270.9 480.6 1181.6 600142.7 600000 20.01 1456.8 12681080 2166942536 35500327 2885618532 223912568611.0 419355129568.0 810746476566.0 958357482.0 2530233.0 91813.0 351.0 0.0 2757.0 6180479
0 linux_tuned 100 0xf00 135 62.6 70.3 112.6 152.6 161.0 176.2 200079.2 200000 20.0 1179.86 4853200 763766152 12071329 962553459 96745506063.0 190839815317.0 370382172682.0 239908205.0 972888.0 2676268.0 136674.0 0.0 345982.0 3014076
0 linux_tuned 100 0xf00 95 63.1 70.7 112.4 152.5 160.4 175.5 199794.8 200000 20.0 1181.99 4846849 761594451 12051127 959118057 97080634420.0 192190481871.0 372607072808.0 242791878.0 1083229.0 2676289.0 139458.0 0.0 353964.0 3018217
0 linux_tuned 100 0xf00 55 63.0 70.7 112.5 152.5 160.6 175.7 199888.5 200000 20.0 1181.35 4850181 761830624 12057337 957923541 97005394784.0 191960130915.0 372257071054.0 243341157.0 1057866.0 2676718.0 139172.0 0.0 354291.0 3018125
0 linux_tuned 100 0xf00 135 73.8 81.8 124.8 168.2 182.2 221.1 399855.1 400000 20.0 1332.79 8492136 1445065556 23987577 1917043396 165074133313.0 317232783926.0 613305423172.0 553551627.0 2476800.0 1471679.0 22590.0 0.0 51783.0 3116251
0 linux_tuned 100 0xf00 95 74.1 82.1 125.1 168.1 182.2 223.4 399726.8 400000 20.0 1330.55 8489127 1443563176 23976986 1911505817 164785693737.0 315868795028.0 610673039754.0 544835631.0 2427179.0 1503375.0 23010.0 0.0 53970.0 3116270
0 linux_tuned 100 0xf00 55 73.6 81.3 124.1 167.7 181.3 220.1 399863.8 400000 20.0 1330.11 8494878 1445005527 23987647 1917821306 164888803279.0 314914003047.0 608829285497.0 532598182.0 2426056.0 1513423.0 23222.0 0.0 54037.0 3116323
0 linux_tuned 100 0xf00 135 85.7 97.7 148.4 249.5 349.5 796.7 600026.1 600000 20.0 1433.48 12768756 2169049801 35584686 2878006827 221295971884.0 398881019967.0 771161254948.0 932089536.0 1941565.0 492910.0 4123.0 0.0 8394.0 3121666
0 linux_tuned 100 0xf00 95 84.7 96.7 147.8 249.9 356.9 808.5 599854.0 600000 20.0 1432.68 12762486 2169133700 35578648 2872880535 221387106529.0 398883727312.0 771167259166.0 935484050.0 1956921.0 491063.0 4242.0 0.0 8364.0 3121634
0 linux_tuned 100 0xf00 55 85.6 97.3 148.3 249.9 357.3 834.2 600178.5 600000 20.0 1435.13 12772085 2172099259 35592894 2880440560 221597819694.0 399982126585.0 773290039794.0 952361815.0 1951974.0 476782.0 4189.0 0.0 8167.0 3121662
0 linux_tuned 200 0xf00 135 81.2 95.4 175.4 249.2 265.0 289.4 200158.5 200000 20.0 1156.21 4637083 749107469 12044477 961103782 89398937834.0 173066944354.0 338830521088.0 225650448.0 327650.0 1548848.0 278195.0 0.0 675379.0 1559371
0 linux_tuned 200 0xf00 95 81.5 95.0 174.9 250.3 266.0 290.6 200018.6 200000 20.0 1157.98 4637185 748901532 12035859 960586534 89783224173.0 174943230363.0 342450174648.0 231369110.0 362535.0 1605810.0 275400.0 0.0 663640.0 1559275
0 linux_tuned 200 0xf00 55 82.1 95.8 175.4 250.7 266.1 289.2 200011.5 200000 20.0 1157.14 4636969 748613367 12036155 962792450 89569608987.0 174143060965.0 341061943981.0 228634743.0 337739.0 1577620.0 280076.0 0.0 671344.0 1559328
0 linux_tuned 200 0xf00 135 88.8 103.3 183.2 258.9 274.2 307.8 399934.5 400000 20.01 1290.01 8490211 1445797778 23873343 1923724143 157352484893.0 278509521875.0 539071574275.0 463018701.0 1038761.0 1606854.0 120933.0 0.0 270745.0 1562711
0 linux_tuned 200 0xf00 95 89.0 103.9 182.6 258.7 274.5 313.2 399877.3 400000 20.01 1289.09 8492036 1445364768 23868377 1919087239 156931589937.0 277438314959.0 536982575834.0 465681438.0 996468.0 1559471.0 129552.0 0.0 289015.0 1562739
0 linux_tuned 200 0xf00 55 89.2 104.6 184.6 261.6 276.6 314.5 400133.9 400000 20.0 1289.49 8493003 1446320785 23878213 1920972045 156740007767.0 278229619453.0 539207061695.0 473579237.0 956871.0 1541928.0 128946.0 0.0 289512.0 1562677
